lead1,lead2,time
-0.0308933177948483,-0.02475474682506297,0.0
-0.038105717618207094,-0.02417112085464954,0.005
-0.040511298475756956,-0.024304888281989043,0.01
-0.03444460765000475,-0.02625398516562835,0.015
-0.035954700425718265,-0.023409120574677124,0.02
-0.04311519024537155,-0.01921631623534907,0.025
-0.0443406949317769,-0.024537564486805732,0.03
-0.03874652309410813,-0.029503176123418344,0.035
-0.036858130479656005,-0.01997251070477621,0.04
-0.04442964186680659,-0.012323815826271303,0.045
-0.04446003290042432,-0.01976001462241076,0.05
-0.027211877081599986,-0.023296361960946466,0.055
-0.019551489990398175,-0.016897060767545845,0.06
-0.032853151750374,-0.018717972237390218,0.065
-0.038715524487680265,-0.027252244196613505,0.07
-0.033209948417776324,-0.029762127103993022,0.075
-0.03744434772543594,-0.029717706859279793,0.08
-0.04242175810096924,-0.02718787699905764,0.085
-0.038967049585432484,-0.01786345923106424,0.09
-0.042279813374615914,-0.013267393283204204,0.095
-0.04352856377052786,-0.019573714639458777,0.1
-0.02861870151077489,-0.024832468948954408,0.105
-0.02341222362136985,-0.024981358134768466,0.11
-0.03716676065065999,-0.02407158027899868,0.115
-0.039960998892656294,-0.02008518301200677,0.12
-0.032903691144902505,-0.017112475849629005,0.125
-0.03752928167061562,-0.022769170682809647,0.13
-0.040509077369564585,-0.029399510783035508,0.135
-0.033799208776827044,-0.026233657829203033,0.14
-0.036462480427638735,-0.01780019287543892,0.145
-0.0414262438163016,-0.014325973166869573,0.15
-0.02996347769126888,-0.01740869482322921,0.155
-0.019393900727181577,-0.01974453305902269,0.16
-0.025477998745629102,-0.01661913874402856,0.165
-0.032995310722814294,-0.013618297374155978,0.17
-0.034580025589218924,-0.014820010966808022,0.175
-0.03584297592766055,-0.01731141017422757,0.18
-0.03176244651837001,-0.02268741699534172,0.185
-0.024880240361380982,-0.029329251171250088,0.19
-0.03054415309601589,-0.02619709296911268,0.195
-0.042313723922733276,-0.017660002442785823,0.2
-0.038254021264529536,-0.01855220343048514,0.205
-0.023336012027011674,-0.02071778815799939,0.21
-0.020565201334448346,-0.013061043707015819,0.215
-0.028255769863128413,-0.008688444579985091,0.22
-0.028339552994037103,-0.01298603485025726,0.225
-0.02470838220320832,-0.014835632652841579,0.23
-0.030628108461600138,-0.01704768096427842,0.235
-0.03586831896836785,-0.0214413928273729,0.24
-0.030066581463553326,-0.015517011645918802,0.245
-0.029046034845489063,-0.007258803990278201,0.25
-0.03759370282633177,-0.013816450099352656,0.255
-0.032813335221187644,-0.02031574414896878,0.26
-0.014549478476326375,-0.013070821234134255,0.265
-0.011307265855104052,-0.010753186288779786,0.27
-0.02272659695832473,-0.018609656343544306,0.275
-0.02276657344844219,-0.017068280642776306,0.28
-0.014101573761677805,-0.009390535825379926,0.285
-0.016344404770562374,-0.014538438980795843,0.29
-0.02243601169370654,-0.024546145998253506,0.295
-0.019760014622410848,-0.01976001462241067,0.3
-0.020169045573432808,-0.004988508258219087,0.305
-0.027738737152020264,0.00030336623447606704,0.31
-0.021890238877221285,-0.008404774821047567,0.315
-0.003630242421755749,-0.018044316136641498,0.32
-0.002537929592228099,-0.01933964868767663,0.325
-0.01755905320538809,-0.01589635875035636,0.33
-0.01709263203009471,-0.010779750664702787,0.335
-0.0025276189207457957,-0.0036296617120553957,0.34
0.0010517856593510373,0.00014140293229612675,0.345
0.0005650375084384322,-0.0003024061184986027,0.35
0.010579510188137332,0.005601901613398563,0.355
0.01407550938250337,0.017077895253888746,0.36
0.005704933191987341,0.018682078046931744,0.365
0.013454403737760457,0.010363592202396575,0.37
0.039337444530610076,0.006156883533794318,0.375
0.05049024646767548,0.002512336169193511,0.38
0.04481156962684972,-0.015052518767320475,0.385
0.051180941461814344,-0.039408219164833495,0.39
0.06776932482581659,-0.05047336365662842,0.395
0.07083311057675101,-0.04941116821597889,0.4
0.06652421344351388,-0.05182842468893586,0.405
0.06964138629897973,-0.053970611956695544,0.41
0.06575376297048939,-0.04210950158049709,0.415
0.05128919390655687,-0.027768147267111135,0.42
