symbol,aux,position,start_time,ss_interval,ss_lag,dss,dss_lag,dss_norm,dss_lag_norm,dss_distance,bpm
N,,0,0.0,,,,,,,,
N,,120,0.6,0.6,,,,,,,25.0
N,,217,1.085,0.485,0.6,-0.11499999999999999,,-0.18008229137538445,,,30.927835051546392
N,,314,1.57,0.4850000000000001,0.485,1.1102230246251565e-16,-0.11499999999999999,1.7385348366278965e-16,-0.18008229137538445,0.18008229137538445,30.927835051546385
N,,411,2.055,0.4850000000000001,0.4850000000000001,0.0,1.1102230246251565e-16,0.0,1.7385348366278965e-16,1.7385348366278965e-16,30.927835051546385
N,,559,2.795,0.7399999999999998,0.4850000000000001,0.25499999999999967,0.0,0.3993129069628085,0.0,0.3993129069628085,20.270270270270277
N,,695,3.475,0.6800000000000002,0.7399999999999998,-0.05999999999999961,0.25499999999999967,-0.09395597810889564,0.3993129069628085,0.41021765380037933,22.05882352941176
N,,864,4.32,0.8450000000000002,0.6800000000000002,0.16500000000000004,-0.05999999999999961,0.25837893979946475,-0.09395597810889564,0.2749316321456931,17.751479289940825
N,,989,4.945,0.625,0.8450000000000002,-0.2200000000000002,0.16500000000000004,-0.3445052530659532,0.25837893979946475,0.43063156633244143,24.0
N,,1149,5.745,0.7999999999999998,0.625,0.17499999999999982,-0.2200000000000002,0.27403826948428045,-0.3445052530659532,0.44020545490938157,18.750000000000004
N,,1397,6.985,1.2400000000000002,0.7999999999999998,0.4400000000000004,0.17499999999999982,0.6890105061319064,0.27403826948428045,0.7415068783916202,12.096774193548384
N,,1544,7.72,0.7349999999999994,1.2400000000000002,-0.5050000000000008,0.4400000000000004,-0.7907961490832113,0.6890105061319064,1.0488536728090254,20.40816326530614
N,,1658,8.29,0.5699999999999994,0.7349999999999994,-0.16500000000000004,-0.5050000000000008,-0.25837893979946475,-0.7907961490832113,0.8319364314277455,26.315789473684237
N,,1767,8.835,0.5450000000000017,0.5699999999999994,-0.02499999999999769,-0.16500000000000004,-0.039148324212036484,-0.25837893979946475,0.2613278933074427,27.52293577981643
N,,1867,9.335,0.5,0.5450000000000017,-0.045000000000001705,-0.02499999999999769,-0.07046698358167486,-0.039148324212036484,0.08061133334532283,30.0
N,,1977,9.885,0.5499999999999989,0.5,0.049999999999998934,-0.045000000000001705,0.07829664842407853,-0.07046698358167486,0.10533736720434869,27.272727272727327
N,,2081,10.405,0.5199999999999996,0.5499999999999989,-0.02999999999999936,0.049999999999998934,-0.046977989054447125,0.07829664842407853,0.09130879809768341,28.84615384615387
N,,2197,10.985,0.5800000000000001,0.5199999999999996,0.0600000000000005,-0.02999999999999936,0.09395597810889703,-0.046977989054447125,0.10504597697198732,25.86206896551724
N,,2317,11.585,0.6000000000000014,0.5800000000000001,0.02000000000000135,0.0600000000000005,0.0313186593696342,0.09395597810889703,0.09903829687101204,24.99999999999994
N,,2499,12.495,0.9099999999999984,0.6000000000000014,0.30999999999999694,0.02000000000000135,0.4854392202292925,0.0313186593696342,0.4864484504667835,16.483516483516514
N,,2617,13.085,0.5900000000000016,0.9099999999999984,-0.31999999999999673,0.30999999999999694,-0.5010985499141082,0.4854392202292925,0.6976754211399778,25.42372881355925
N,,2742,13.71,0.625,0.5900000000000016,0.034999999999998366,-0.31999999999999673,0.05480765389685358,-0.5010985499141082,0.5040869326333497,24.0
N,,2850,14.25,0.5399999999999991,0.625,-0.08500000000000085,0.034999999999998366,-0.13310430232093767,0.05480765389685358,0.14394663671660018,27.77777777777782
N,,2958,14.79,0.5399999999999991,0.5399999999999991,0.0,-0.08500000000000085,0.0,-0.13310430232093767,0.13310430232093767,27.77777777777782
N,,3067,15.335,0.5450000000000017,0.5399999999999991,0.005000000000002558,0.0,0.007829664842412026,0.0,0.007829664842412026,27.52293577981643
N,,3183,15.915,0.5799999999999983,0.5450000000000017,0.03499999999999659,0.005000000000002558,0.05480765389685081,0.007829664842412026,0.055364091044841406,25.862068965517317
N,,3303,16.515,0.6000000000000014,0.5799999999999983,0.020000000000003126,0.03499999999999659,0.03131865936963698,0.05480765389685081,0.0631247760422826,24.99999999999994
N,,3413,17.065,0.5500000000000007,0.6000000000000014,-0.05000000000000071,0.020000000000003126,-0.07829664842408132,0.03131865936963698,0.08432807112199084,27.272727272727238
N,,3520,17.6,0.5350000000000001,0.5500000000000007,-0.015000000000000568,-0.05000000000000071,-0.02348899452722495,-0.07829664842408132,0.08174410081678188,28.037383177570085
N,,3677,18.385,0.7850000000000001,0.5350000000000001,0.25,-0.015000000000000568,0.39148324212040103,-0.02348899452722495,0.39218727889236865,19.108280254777068
N,,3799,18.995,0.6099999999999994,0.7850000000000001,-0.1750000000000007,0.25,-0.27403826948428184,0.39148324212040103,0.47786619675704245,24.590163934426254
N,,3955,19.775,0.7799999999999976,0.6099999999999994,0.16999999999999815,-0.1750000000000007,0.2662086046418698,-0.27403826948428184,0.38205234500956964,19.23076923076929
N,,4081,20.405,0.6300000000000026,0.7799999999999976,-0.14999999999999503,0.16999999999999815,-0.23488994527223284,0.2662086046418698,0.3550215593106479,23.809523809523714
N,,4230,21.15,0.7449999999999974,0.6300000000000026,0.11499999999999488,-0.14999999999999503,0.18008229137537646,-0.23488994527223284,0.29597790129838836,20.134228187919533
N,,4391,21.955,0.8049999999999997,0.7449999999999974,0.060000000000002274,0.11499999999999488,0.0939559781088998,0.18008229137537646,0.2031190721951192,18.633540372670815
N,,4514,22.57,0.615000000000002,0.8049999999999997,-0.18999999999999773,0.060000000000002274,-0.2975272640115012,0.0939559781088998,0.31200993357995765,24.390243902438947
N,,4619,23.095,0.5249999999999986,0.615000000000002,-0.09000000000000341,-0.18999999999999773,-0.14093396716334972,-0.2975272640115012,0.32921855344219236,28.571428571428648
N,,4730,23.65,0.5549999999999997,0.5249999999999986,0.030000000000001137,-0.09000000000000341,0.0469779890544499,-0.14093396716334972,0.1485574453065216,27.027027027027042
N,,4834,24.17,0.5200000000000031,0.5549999999999997,-0.03499999999999659,0.030000000000001137,-0.05480765389685081,0.0469779890544499,0.07218594310028095,28.846153846153673
N,,4961,24.805,0.634999999999998,0.5200000000000031,0.11499999999999488,-0.03499999999999659,0.18008229137537646,-0.05480765389685081,0.1882379095524676,23.622047244094563
N,,5111,25.555,0.75,0.634999999999998,0.11500000000000199,0.11499999999999488,0.1800822913753876,0.18008229137537646,0.2546748188062887,20.0
N,,5277,26.385,0.8300000000000018,0.75,0.08000000000000185,0.11500000000000199,0.1252746374785312,0.1800822913753876,0.219370386475448,18.072289156626464
N,,5417,27.085,0.6999999999999993,0.8300000000000018,-0.13000000000000256,0.08000000000000185,-0.20357128590261253,0.1252746374785312,0.23902929368472942,21.428571428571452
N,,5520,27.6,0.5150000000000006,0.6999999999999993,-0.18499999999999872,-0.13000000000000256,-0.28969759916909477,-0.20357128590261253,0.35407056840180984,29.12621359223298
N,,5750,28.75,1.1499999999999986,0.5150000000000006,0.634999999999998,-0.18499999999999872,0.9943674349858155,-0.28969759916909477,1.0357081127057988,13.04347826086958
N,,5920,29.6,0.8500000000000014,1.1499999999999986,-0.29999999999999716,0.634999999999998,-0.4697798905444768,0.9943674349858155,1.099754400455052,17.64705882352938
N,,6049,30.245,0.6449999999999996,0.8500000000000014,-0.20500000000000185,-0.29999999999999716,-0.3210162585387317,-0.4697798905444768,0.5689855743392678,23.25581395348839
N,,6267,31.335,1.0899999999999999,0.6449999999999996,0.4450000000000003,-0.20500000000000185,0.6968401709743143,-0.3210162585387317,0.7672272558569054,13.761467889908259
N,,6430,32.15,0.8149999999999977,1.0899999999999999,-0.27500000000000213,0.4450000000000003,-0.4306315663324445,0.6968401709743143,0.8191640676967259,18.404907975460173
N,,6588,32.94,0.7899999999999991,0.8149999999999977,-0.02499999999999858,-0.27500000000000213,-0.03914832421203788,-0.4306315663324445,0.43240737413987906,18.987341772151918
N,,6727,33.635,0.6950000000000003,0.7899999999999991,-0.09499999999999886,-0.02499999999999858,-0.1487636320057506,-0.03914832421203788,0.15382850677346255,21.58273381294963
N,,6906,34.53,0.8950000000000031,0.6950000000000003,0.20000000000000284,-0.09499999999999886,0.3131865936963253,-0.1487636320057506,0.346722454823234,16.759776536312792
N,,7025,35.125,0.5949999999999989,0.8950000000000031,-0.30000000000000426,0.20000000000000284,-0.46977989054448793,0.3131865936963253,0.5646051611800039,25.210084033613494
N,,7186,35.93,0.8049999999999997,0.5949999999999989,0.21000000000000085,-0.30000000000000426,0.3288459233811382,-0.46977989054448793,0.5734394361084565,18.633540372670815
N,,7347,36.735,0.8049999999999997,0.8049999999999997,0.0,0.21000000000000085,0.0,0.3288459233811382,0.3288459233811382,18.633540372670815
N,,7463,37.315,0.5799999999999983,0.8049999999999997,-0.22500000000000142,0.0,-0.35233491790836313,0.0,0.35233491790836313,25.862068965517317
N,,7581,37.905,0.5900000000000034,0.5799999999999983,0.010000000000005116,-0.22500000000000142,0.01565932968482405,-0.35233491790836313,0.35268273133748834,25.423728813559176
N,,7686,38.43,0.5249999999999986,0.5900000000000034,-0.06500000000000483,0.010000000000005116,-0.10178564295131183,0.01565932968482405,0.10298316229942615,28.571428571428648
N,,7811,39.055,0.625,0.5249999999999986,0.10000000000000142,-0.06500000000000483,0.15659329684816264,-0.10178564295131183,0.18676663976414182,24.0
N,,7959,39.795,0.740000000000002,0.625,0.11500000000000199,0.10000000000000142,0.1800822913753876,0.15659329684816264,0.23864427980738775,20.270270270270217
N,,8080,40.4,0.6049999999999969,0.740000000000002,-0.13500000000000512,0.11500000000000199,-0.21140095074502457,0.1800822913753876,0.2777048678775911,24.793388429752195
N,,8208,41.04,0.6400000000000006,0.6049999999999969,0.035000000000003695,-0.13500000000000512,0.05480765389686193,-0.21140095074502457,0.21839011173031278,23.43749999999998
N,,8374,41.87,0.8299999999999983,0.6400000000000006,0.18999999999999773,0.035000000000003695,0.2975272640115012,0.05480765389686193,0.3025332242181803,18.072289156626542
N,,8527,42.635,0.7650000000000006,0.8299999999999983,-0.06499999999999773,0.18999999999999773,-0.1017856429513007,0.2975272640115012,0.31445634027823194,19.60784313725489
N,,8674,43.37,0.7349999999999994,0.7650000000000006,-0.030000000000001137,-0.06499999999999773,-0.0469779890544499,-0.1017856429513007,0.11210374019902139,20.40816326530614
N,,8803,44.015,0.6450000000000031,0.7349999999999994,-0.0899999999999963,-0.030000000000001137,-0.14093396716333859,-0.0469779890544499,0.14855744530651102,23.25581395348826
N,,8945,44.725,0.7100000000000009,0.6450000000000031,0.06499999999999773,-0.0899999999999963,0.1017856429513007,-0.14093396716333859,0.17384677222027065,21.126760563380255
